Year,Team,G,MP,NFGM,NFGA,PCTFG,N3PM,N3PA,PCT3P,N2PM,N2PA,PCT2P,NFTM,NFTA,PCTFT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,Houston Rockets*,82,241.5,37,83.3,0.444,11.4,32.7,0.348,25.6,50.6,0.506,18.6,26,0.715,11.7,32,43.7,22.2,9.5,5,16.7,22,103.9
2014-15,San Antonio Spurs*,82,243.4,39.1,83.6,0.468,8.3,22.5,0.367,30.9,61.1,0.505,16.7,21.4,0.78,9.8,33.8,43.6,24.4,8,5.4,14,19.1,103.2
2014-15,Cleveland Cavaliers*,82,241.2,37.7,82.2,0.458,10.1,27.5,0.367,27.6,54.7,0.504,17.7,23.6,0.751,11.1,31.9,43,22.1,7.4,4.1,14.3,18.4,103.1
2014-15,Portland Trail Blazers*,82,242.1,38.7,86,0.45,9.8,27.2,0.362,28.9,58.8,0.491,15.5,19.4,0.801,10.7,35.1,45.9,21.9,6.4,4.5,13.6,18.2,102.8
2014-15,Atlanta Hawks*,82,240.6,38.1,81.7,0.466,10,26.2,0.38,28.1,55.5,0.506,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5
2014-15,Phoenix Suns,82,242.4,38.8,85.8,0.452,8.5,25,0.341,30.2,60.9,0.497,16.4,21.5,0.76,10.9,32.2,43.2,20.2,8.5,4.7,15.1,21.3,102.4
2014-15,Denver Nuggets,82,242.4,37.8,87.3,0.433,8,24.8,0.325,29.7,62.5,0.476,17.8,24.3,0.734,12.3,32.4,44.7,21.8,7.8,4.5,14.2,23,101.5
2014-15,Boston Celtics*,82,242.4,38.9,87.9,0.443,8,24.6,0.327,30.9,63.3,0.488,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4
2014-15,Sacramento Kings,82,242.1,36.7,80.7,0.455,5.6,16.5,0.341,31.1,64.2,0.484,22.3,29.3,0.762,10.9,33.3,44.2,20.3,6.7,4,16.3,20.7,101.3
2014-15,Chicago Bulls*,82,242.4,36.6,82.9,0.442,7.9,22.3,0.353,28.7,60.6,0.474,19.7,25.2,0.783,11.7,34,45.7,21.7,6.3,5.8,14,18.2,100.8
2014-15,New Orleans Pelicans*,82,241.2,37.9,82.9,0.457,7.1,19.3,0.37,30.8,63.6,0.484,16.4,21.8,0.751,11.5,32,43.5,22,6.7,6.2,13.3,18.7,99.4
2014-15,Washington Wizards*,82,243.4,38.3,82.8,0.462,6.1,16.8,0.36,32.2,66,0.488,15.9,21.4,0.742,10.5,34.2,44.7,24,7.3,4.6,15,20.8,98.5
2014-15,Detroit Pistons,82,241.8,37.1,85.8,0.432,8.6,24.9,0.344,28.5,60.9,0.468,15.8,22.4,0.703,12.8,32.1,44.9,21.6,7.6,4.7,13.4,19,98.5
2014-15,Los Angeles Lakers,82,243,37.2,85.6,0.435,6.5,18.9,0.344,30.8,66.8,0.461,17.5,23.6,0.741,11.6,32.3,43.9,20.9,7,4.5,13.2,21.2,98.5
2014-15,Memphis Grizzlies*,82,242.7,37.8,82.5,0.458,5.2,15.2,0.339,32.6,67.3,0.485,17.6,22.8,0.773,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3
2014-15,Brooklyn Nets*,82,243,37.4,83,0.451,6.6,19.9,0.331,30.8,63.1,0.489,16.6,22.2,0.748,10.3,32,42.4,20.9,7,4.1,13.8,19.3,98
2014-15,Milwaukee Bucks*,82,243,37.6,82,0.459,6.6,18.3,0.363,31,63.7,0.486,16,21.1,0.757,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8
2014-15,Minnesota Timberwolves,82,241.5,36.4,83.2,0.438,5,14.9,0.332,31.5,68.3,0.461,20,25.7,0.776,11.6,29.3,40.9,21.6,8.1,4,15,19.2,97.8
2014-15,Indiana Pacers,82,242.1,36.6,83.2,0.439,7.5,21.2,0.352,29.1,62,0.469,16.7,22.2,0.756,10.4,34.4,44.9,21.4,6.2,4.6,14,21.2,97.3
2014-15,Orlando Magic,82,240.9,37.5,82.8,0.453,6.8,19.5,0.347,30.8,63.3,0.486,13.9,19.1,0.729,10,31.8,41.8,20.6,7.9,3.8,14.9,20.9,95.7
2014-15,Utah Jazz,82,240.3,35.4,79.2,0.447,7.4,21.7,0.343,27.9,57.5,0.486,17,23.5,0.721,12,31.9,44,19.9,7.6,6,15.3,19.3,95.1
2014-15,Miami Heat,82,240.6,35.2,77.2,0.456,6.8,20.2,0.335,28.4,57,0.499,17.5,23.7,0.741,9.1,30,39.1,19.8,7.8,4.5,14.8,20,94.7
2014-15,Charlotte Hornets,82,242.7,35.5,84.5,0.42,6.1,19.1,0.318,29.5,65.4,0.45,17,22.8,0.748,10,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2
2014-15,Philadelphia 76ers,82,241.5,33.7,82.6,0.408,8.4,26.3,0.32,25.3,56.3,0.449,16.1,23.8,0.676,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92
2014-15,New York Knicks,82,242.1,35.1,82,0.428,6.8,19.7,0.347,28.3,62.3,0.454,14.8,19.2,0.769,10.6,29.8,40.4,21.3,7,4.7,14.7,21.6,91.9
2013-14,Los Angeles Clippers*,82,240.9,39.1,82.5,0.474,8.5,24,0.352,30.7,58.5,0.525,21.2,29.1,0.73,10.5,32.5,43,24.6,8.6,4.8,13.9,21.5,107.9
2013-14,Houston Rockets*,82,241.8,38,80.5,0.472,9.5,26.6,0.358,28.5,54,0.529,22.1,31.1,0.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7
2013-14,Minnesota Timberwolves,82,242.1,38.9,87.5,0.444,7.3,21.4,0.341,31.6,66.1,0.478,21.8,28.1,0.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9
2013-14,Portland Trail Blazers*,82,242.1,39.1,87,0.45,9.4,25.3,0.372,29.7,61.7,0.481,19.1,23.5,0.815,12.5,34,46.4,23.2,5.5,4.7,13.7,19.2,106.7
2013-14,Oklahoma City Thunder*,82,241.5,39,82.7,0.471,8.1,22.4,0.361,30.9,60.3,0.512,20.2,25,0.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2
2013-14,San Antonio Spurs*,82,240.9,40.6,83.5,0.486,8.5,21.4,0.397,32,62,0.517,15.7,20,0.785,9.3,34,43.3,25.2,7.4,5.1,14.4,18.2,105.4
2013-14,Phoenix Suns,82,240.9,38.7,83.5,0.463,9.3,25.1,0.372,29.4,58.4,0.503,18.5,24.4,0.758,11.3,31.7,43,19.1,8.4,4.6,15.3,21.9,105.2
2013-14,Dallas Mavericks*,82,241.8,39.6,83.6,0.474,8.8,22.9,0.384,30.8,60.7,0.508,16.8,21.1,0.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20,104.8
2013-14,Denver Nuggets,82,240.9,38.4,85.9,0.447,8.6,23.9,0.358,29.8,62,0.481,19.1,26.3,0.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23,104.4
2013-14,Golden State Warriors*,82,241.8,39.5,85.4,0.462,9.4,24.8,0.38,30,60.6,0.496,15.9,21.1,0.753,10.9,34.4,45.3,23.3,7.8,5,15.2,21.8,104.3
2013-14,Los Angeles Lakers,82,240.3,38.3,85.1,0.45,9.4,24.8,0.381,28.8,60.3,0.478,17,22.4,0.757,9.1,32,41,24.5,7.5,5.4,15.1,19.8,103
2013-14,Miami Heat*,82,242.4,38.3,76.5,0.501,8.1,22.3,0.364,30.2,54.2,0.558,17.5,23,0.76,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2
2013-14,Toronto Raptors*,82,243.4,36.5,81.9,0.445,8.7,23.4,0.372,27.8,58.5,0.475,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7,4.2,14.1,23,101.3
2013-14,Detroit Pistons,82,241.2,38.8,86.9,0.447,6.2,19.3,0.321,32.6,67.6,0.483,17.3,25.7,0.67,14.6,30.8,45.4,20.9,8.4,4.8,14.5,20.3,101
2013-14,Atlanta Hawks*,82,241.8,37.3,81.6,0.458,9.4,25.8,0.363,28,55.8,0.502,17,21.7,0.781,8.7,31.3,40,24.9,8.3,4,15.3,19.2,101
2013-14,Washington Wizards*,82,244.6,38.7,84.4,0.459,7.9,20.8,0.38,30.9,63.6,0.485,15.3,20.9,0.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7
2013-14,Sacramento Kings,82,241.8,36.9,82.5,0.447,6,18,0.333,30.9,64.5,0.479,20.7,27.3,0.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5
2013-14,New Orleans Pelicans,82,242.1,37.8,82.5,0.459,5.9,15.9,0.373,31.9,66.6,0.479,18.2,23.6,0.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7
2013-14,Philadelphia 76ers,82,242.1,37.9,87.2,0.435,7,22.5,0.312,30.9,64.7,0.477,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4,16.9,22.5,99.5
2013-14,New York Knicks,82,242.1,36.9,82.2,0.449,9.3,24.9,0.372,27.7,57.3,0.482,15.5,20.4,0.761,10.6,29.7,40.3,20,7.7,4.5,13,22.1,98.6
2013-14,Brooklyn Nets*,82,242.4,35.7,77.9,0.459,8.6,23.4,0.369,27.1,54.5,0.497,18.4,24.4,0.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5
2013-14,Cleveland Cavaliers,82,243,37,84.8,0.437,7.1,20,0.356,29.9,64.8,0.461,17,22.7,0.751,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20,98.2
2013-14,Charlotte Bobcats*,82,242.7,36.3,82.1,0.442,6.3,17.9,0.351,30,64.1,0.468,18,24.4,0.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,96.9
2013-14,Indiana Pacers*,82,241.2,36,80.2,0.449,6.7,18.8,0.357,29.3,61.4,0.477,18.1,23.3,0.779,10.2,34.5,44.7,20.1,6.7,5.4,15.1,20.4,96.7
2013-14,Orlando Magic,82,243.4,36.9,82.7,0.445,6.9,19.5,0.353,30,63.3,0.474,15.9,20.9,0.763,9.7,32.4,42,21,7.7,4.3,14.9,20.5,96.5
2013-14,Boston Celtics,82,240.6,36.5,83.9,0.435,7,21.1,0.333,29.5,62.9,0.47,16.2,20.8,0.777,12,30.5,42.5,21,7.1,4.2,15.4,21.3,96.2
2013-14,Memphis Grizzlies*,82,241.5,38.1,82,0.464,4.9,14,0.353,33.1,68,0.487,15.1,20.3,0.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1
2013-14,Milwaukee Bucks,82,242.4,36,82.2,0.438,6.7,18.9,0.353,29.3,63.2,0.464,16.8,22.5,0.747,11.8,29.3,41.1,21.5,6.6,4.9,15.1,20.9,95.5
2013-14,Utah Jazz,82,241.2,36,81.1,0.444,6.6,19.2,0.344,29.4,61.9,0.474,16.4,22,0.747,11,30.2,41.2,20.3,7,4.5,14.6,20.7,95
2013-14,Chicago Bulls*,82,243,34.7,80.2,0.432,6.2,17.8,0.348,28.5,62.4,0.456,18.1,23.3,0.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7
2012-13,Denver Nuggets*,82,242.7,40.7,85.2,0.478,6.4,18.5,0.343,34.4,66.6,0.516,18.4,26.2,0.701,13.3,31.7,45,24.4,9.3,6.5,15.3,20.5,106.1
2012-13,Houston Rockets*,82,241.2,38.1,82.7,0.461,10.6,28.9,0.366,27.5,53.8,0.511,19.2,25.5,0.754,11.1,32.3,43.4,23.2,8.3,4.4,16.4,20.3,106
2012-13,Oklahoma City Thunder*,82,241.8,38.1,79.3,0.481,7.3,19.4,0.377,30.8,60,0.514,22.2,26.8,0.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7
2012-13,San Antonio Spurs*,82,242.4,39.1,81.4,0.481,8.1,21.5,0.376,31.1,59.9,0.519,16.6,21,0.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103
2012-13,Miami Heat*,82,242.4,38.4,77.4,0.496,8.7,22.1,0.396,29.6,55.4,0.536,17.4,23,0.754,8.2,30.4,38.6,23,8.7,5.4,13.9,18.7,102.9
2012-13,Los Angeles Lakers*,82,240.9,37.1,81,0.458,8.7,24.6,0.355,28.4,56.4,0.503,19.3,27.9,0.692,11.5,33.3,44.8,22.2,7,5.2,15,17.9,102.2
2012-13,Golden State Warriors*,82,241.5,38.2,83.4,0.458,8,19.9,0.403,30.1,63.5,0.475,16.8,21.3,0.79,10.8,34.2,45,22.5,6.9,4.2,15.1,21.4,101.2
2012-13,Dallas Mavericks,82,243.7,38.8,84,0.462,7.4,19.9,0.372,31.4,64.2,0.489,16.1,20.4,0.793,9.4,32.6,41.9,23.2,7.9,5.5,14,20.7,101.1
2012-13,Los Angeles Clippers*,82,240.6,38.5,80.6,0.478,7.6,21.4,0.358,30.9,59.2,0.522,16.4,23,0.711,11.4,30.2,41.6,23.9,9.6,5.6,14.6,20.9,101.1
2012-13,Sacramento Kings,82,241.8,37.6,84.2,0.447,7.4,20.5,0.363,30.2,63.7,0.474,17.5,22.8,0.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2
2012-13,New York Knicks*,82,240.6,36.5,81.6,0.448,10.9,28.9,0.376,25.7,52.7,0.487,16,21.1,0.759,10.9,29.7,40.6,19.3,8.2,3.6,12,20.1,100
2012-13,Milwaukee Bucks*,82,241.8,38.1,87.8,0.435,7.3,20.4,0.36,30.8,67.4,0.457,15.3,20.7,0.736,13,30.9,44,22.9,8.4,6.7,14.1,19,98.9
2012-13,Utah Jazz,82,242.4,37.1,81.8,0.454,6.2,16.9,0.366,31,64.9,0.477,17.5,23,0.764,12.1,30,42,22.7,8.4,6.3,14.8,21.3,98
2012-13,Atlanta Hawks*,82,242.1,37.6,81,0.464,8.6,23.2,0.371,29,57.8,0.501,14.1,19.7,0.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18,98
2012-13,Portland Trail Blazers,82,242.1,36.7,81.9,0.448,8.2,23.2,0.353,28.5,58.7,0.486,15.9,20.5,0.776,10.7,30.2,40.8,21.8,6.6,4.3,14.7,18.5,97.5
2012-13,Toronto Raptors,82,243.7,36.3,81.5,0.446,7,20.3,0.343,29.4,61.2,0.48,17.6,22.3,0.788,10.6,29.6,40.2,21.5,7.3,4.8,13.7,22.4,97.2
2012-13,Brooklyn Nets*,82,242.1,35.9,79.8,0.45,7.7,21.5,0.357,28.2,58.3,0.484,17.5,23.9,0.731,12.8,30,42.8,20.3,7.3,4.8,14.7,18.3,96.9
2012-13,Cleveland Cavaliers,82,240.6,36.5,84.2,0.434,6.7,19.3,0.346,29.8,64.9,0.46,16.8,22.3,0.756,12.2,28.8,41,20.7,7.9,4.1,14,21.2,96.5
2012-13,Minnesota Timberwolves,82,240.6,35.9,81.7,0.439,5.5,18,0.305,30.4,63.7,0.477,18.5,24.9,0.742,11.9,30.2,42,22.4,8.5,4.7,14.8,18.4,95.7
2012-13,Boston Celtics*,81,244.9,37,79.7,0.465,6.1,17.2,0.358,30.9,62.6,0.494,16.3,21,0.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5
2012-13,Phoenix Suns,82,241.5,37.3,84.4,0.443,5.9,17.7,0.33,31.5,66.6,0.473,14.7,19.7,0.744,11.7,29.9,41.6,22.6,8,5.3,15.6,20.6,95.2
2012-13,Detroit Pistons,82,241.5,36.3,81,0.449,6.3,17.6,0.356,30.1,63.4,0.474,15.9,22.8,0.699,12.1,30,42.1,21.2,7,4.9,15.1,19.8,94.9
2012-13,Orlando Magic,82,241.2,37.7,84.2,0.448,6.2,18.7,0.329,31.5,65.5,0.482,12.5,16.6,0.755,10.9,31.9,42.7,22.8,6.4,4.4,14.5,19.4,94.1
2012-13,New Orleans Hornets,82,241.2,36,80.4,0.448,6.5,18,0.363,29.5,62.4,0.473,15.5,20,0.776,12,29.6,41.6,21,6.3,5.4,14.5,20.4,94.1
2012-13,Indiana Pacers*,81,241.9,35.1,80.6,0.436,6.9,19.7,0.347,28.3,60.8,0.465,17.6,23.6,0.746,12.9,33,45.9,20.3,7.2,6.3,15.1,20,94.7
2012-13,Charlotte Bobcats,82,241.5,34.4,81.1,0.425,5.7,17.1,0.335,28.7,64,0.448,18.9,25.1,0.75,11.2,29.1,40.3,19.4,7.2,5.8,14.1,19,93.4
2012-13,Memphis Grizzlies*,82,241.5,36.1,81.5,0.444,4.7,13.5,0.345,31.5,68,0.463,16.5,21.3,0.773,12.9,29.8,42.7,20.9,8.6,5.3,14,20.2,93.4
2012-13,Washington Wizards,82,242.1,35.5,81.6,0.435,6.6,18.2,0.365,28.8,63.4,0.455,15.6,21.3,0.733,10.8,32.3,43.2,21.6,7.3,4.6,15.1,20.5,93.2
2012-13,Chicago Bulls*,82,241.8,35.7,81.7,0.437,5.4,15.4,0.353,30.2,66.3,0.456,16.4,21.2,0.773,12.5,30.7,43.2,23,7.2,5.1,14.3,19.7,93.2
2012-13,Philadelphia 76ers,82,240.9,37.3,84.1,0.444,6.3,17.5,0.36,31,66.5,0.466,12.2,16.8,0.729,10.9,30.4,41.3,22.8,7.4,4.7,13,18.4,93.2
