"age","fare","survived"
36,10.5,0
34,21,0
30,21,1
28,13,1
23,15.0458,0
0.8333,18.75,1
3,18.75,1
24,18.75,1
50,10.5,1
19,10.5,0
21,10.5,1
26,13,0
25,13,0
27,26,0
25,26,1
18,13,1
20,36.75,1
30,13,1
59,13.5,0
30,12.35,1
35,10.5,0
40,13,1
25,13,0
41,15.0458,0
25,10.5,0
18.5,13,0
14,65,0
50,10.5,1
23,13,0
28,12.65,1
27,10.5,1
29,21,0
27,21,0
40,13,0
31,21,1
30,21,0
23,10.5,0
31,21,1
12,15.75,1
40,15.75,1
32.5,13,1
27,26,0
29,26,1
2,23,1
4,23,1
29,23,1
0.9167,27.75,1
5,27.75,1
36,27.75,0
33,27.75,1
66,10.5,0
31,13,1
26,13.5,1
24,13,0
42,7.55,0
13,20.25,0
16,20.25,0
35,20.25,1
16,7.65,1
25,7.65,1
20,7.925,1
18,7.2292,1
30,7.25,0
26,8.05,0
40,9.475,0
0.8333,9.35,1
18,9.35,1
26,18.7875,1
26,7.8875,0
20,7.925,0
24,7.05,0
25,7.05,0
35,8.05,0
18,8.3,0
32,22.525,0
19,7.8542,1
4,31.275,0
6,31.275,0
2,31.275,0
17,7.925,1
38,7.775,0
9,31.275,0
11,31.275,0
39,31.275,0
27,7.7958,1
26,7.775,0
39,31.275,0
20,7.8542,0
26,7.8958,0
25,17.8,0
18,17.8,0
24,7.775,0
35,7.05,0
5,31.3875,0
9,31.3875,0
3,31.3875,1
13,31.3875,0
5,31.3875,1
40,31.3875,0
23,7.7958,1
38,31.3875,1
45,7.225,1
21,7.225,0
23,7.05,0
17,14.4583,0
30,7.225,0
23,7.8542,0
13,7.2292,1
20,7.225,0
32,15.85,0
33,15.85,1
0.75,19.2583,1
0.75,19.2583,1
5,19.2583,1
24,19.2583,1
18,8.05,1
40,7.225,0
26,7.8958,0
20,7.2292,1
18,14.4542,0
45,14.4542,0
27,7.8792,0
22,8.05,0
19,8.05,0
26,7.775,0
22,9.35,0
20,4.0125,0
32,56.4958,1
21,7.775,0
18,7.75,0
26,7.8958,0
6,15.2458,0
9,15.2458,0
40,15.5,0
32,15.5,0
21,16.1,0
22,7.725,1
20,7.8542,0
29,7.0458,0
22,7.25,0
22,7.7958,0
35,8.05,0
18.5,7.2833,0
21,7.8208,1
19,6.75,0
18,7.8792,0
21,8.6625,0
30,8.6625,0
18,8.6625,0
38,8.6625,0
17,8.6625,0
17,8.6625,0
21,7.75,0
21,7.75,0
21,8.05,0
28,7.7958,0
24,7.8542,0
16,7.75,1
37,7.75,0
28,7.25,0
24,8.05,0
21,7.7333,0
32,56.4958,1
29,8.05,0
26,14.4542,0
18,14.4542,0
20,7.05,0
18,8.05,1
24,7.25,0
36,7.4958,0
24,7.4958,0
31,7.7333,0
31,7.75,0
22,7.75,1
30,7.6292,0
70.5,7.75,0
43,8.05,0
35,7.8958,0
27,7.8958,0
19,7.8958,0
30,8.05,0
9,15.9,1
3,15.9,1
36,15.9,1
59,7.25,0
19,8.1583,0
17,16.1,1
44,16.1,0
17,8.6625,0
22.5,7.225,0
45,8.05,1
22,10.5167,0
19,10.1708,0
30,6.95,1
29,7.75,1
0.3333,14.4,0
34,14.4,0
28,14.4,0
27,7.8958,0
25,7.8958,0
24,24.15,0
22,8.05,0
21,24.15,0
17,8.05,0
36.5,17.4,1
36,17.4,1
30,9.5,1
16,9.5,0
1,20.575,1
0.1667,20.575,1
26,20.575,0
33,20.575,1
25,7.8958,0
22,7.25,0
36,7.25,0
19,7.8792,1
17,7.8958,0
42,8.6625,0
43,7.8958,0
32,7.75,0
19,8.05,1
30,12.475,1
24,7.75,0
23,8.05,1
33,7.8958,0
65,7.75,0
24,7.55,1
23,13.9,0
22,13.9,1
18,7.775,0
16,7.775,0
45,6.975,0
39,7.2292,0
17,7.2292,0
15,7.2292,0
47,7.25,0
5,12.475,1
40.5,15.1,0
40.5,7.75,0
18,7.7958,0
26,7.8792,0
21,34.375,0
9,34.375,0
18,34.375,0
16,34.375,0
48,34.375,0
25,7.7417,0
22,8.05,0
16,7.7333,1
9,20.525,1
33,20.525,0
41,7.85,0
31,20.525,1
38,7.05,0
9,46.9,0
1,46.9,0
11,46.9,0
10,46.9,0
16,46.9,0
14,46.9,0
40,46.9,0
43,46.9,0
51,8.05,0
32,8.3625,0
20,9.8458,0
37,7.925,0
28,7.925,0
19,7.775,0
24,8.85,0
17,7.7333,0
28,15.85,0
24,15.85,1
20,9.5,0
23.5,7.2292,0
41,14.1083,0
26,7.8542,0
21,7.8542,0
45,14.1083,1
25,7.25,0
11,18.7875,0
27,6.975,1
18,6.75,0
26,7.925,1
23,7.925,0
22,8.9625,1
28,7.8958,0
28,7.775,0
2,12.2875,1
22,12.2875,1
43,6.45,0
28,22.525,0
27,7.925,1
42,7.65,0
30,7.2292,0
27,7.925,0
25,7.925,0
29,7.8958,1
21,7.7958,1
20,7.8542,0
48,7.8542,0
17,7.0542,0
34,6.4958,0
26,7.775,1
22,7.7958,0
33,8.6542,0
31,7.775,0
29,7.8542,0
4,11.1333,1
1,11.1333,1
49,0,0
33,7.775,0
19,0,0
27,11.1333,1
23,7.8958,0
32,7.8542,1
27,7.8542,0
20,9.825,0
21,9.825,0
32,7.925,1
17,7.125,0
21,8.4333,0
30,7.8958,0
21,7.7958,1
33,7.8542,0
22,7.5208,0
4,13.4167,1
39,13.4167,1
18.5,7.2292,0
34.5,7.8292,0
44,8.05,0
22,8.6625,0
26,8.6625,0
4,22.025,1
29,22.025,1
26,22.025,1
1,12.1833,0
18,7.8542,0
36,12.1833,0
25,7.2292,1
37,9.5875,0
22,7.25,1
26,56.4958,1
29,9.4833,0
29,7.775,0
22,7.775,0
22,7.225,1
32,7.925,0
34.5,6.4375,0
36,0,0
39,24.15,0
24,9.5,0
25,7.775,0
45,7.75,0
36,15.55,0
30,15.55,0
20,7.925,1
28,56.4958,0
30,16.1,0
26,16.1,0
20.5,7.25,0
27,8.6625,1
51,7.0542,0
23,7.8542,1
32,7.5792,1
24,7.1417,1
22,7.125,0
29,7.925,0
30.5,7.75,0
35,7.8958,0
33,7.8958,0
15,8.0292,1
35,7.75,0
24,16.1,0
19,16.1,0
55.5,8.05,0
21,7.775,1
24,7.8958,0
21,7.8958,0
28,7.8958,0
25,7.65,0
6,12.475,1
27,12.475,1
34,8.05,0
24,7.75,1
18,7.75,0
22,7.8958,0
15,7.225,1
1,15.7417,1
20,15.7417,1
19,15.7417,1
33,8.05,0
12,11.2417,1
14,11.2417,1
29,7.925,0
28,8.05,0
18,7.775,1
26,7.8542,1
21,7.8542,0
41,7.125,0
39,7.925,1
21,7.8,0
28.5,7.2292,0
22,7.75,1
61,6.2375,0
23,9.225,0
22,7.775,1
9,3.1708,1
28,22.525,0
42,8.4042,0
31,7.8542,0
28,7.8542,0
32,7.775,1
20,9.225,0
23,8.6625,0
20,8.6625,0
20,8.6625,0
16,9.2167,0
31,8.6833,1
2,21.075,0
6,21.075,0
3,21.075,0
8,21.075,0
29,21.075,0
1,39.6875,0
7,39.6875,0
2,39.6875,0
16,39.6875,0
14,39.6875,0
41,39.6875,0
21,8.6625,0
19,14.5,0
32,7.8958,0
0.75,13.775,0
3,13.775,0
26,13.775,0
21,7.925,0
25,7.925,0
22,7.25,0
25,7.775,1
24,8.05,0
28,7.8958,0
19,7.8958,0
25,7.775,0
18,7.775,0
32,8.05,1
17,8.6625,0
24,8.6625,0
38,7.8958,0
21,8.05,0
10,29.125,0
4,29.125,0
7,29.125,0
2,29.125,0
8,29.125,0
39,29.125,0
22,39.6875,0
35,7.125,0
50,14.5,0
47,14.5,0
2,20.2125,0
18,20.2125,0
41,20.2125,0
50,8.05,0
16,8.05,0
25,7.225,0
38.5,7.25,0
14.5,69.55,0
24,9.325,0
21,7.65,1
39,7.925,0
1,16.7,1
24,16.7,1
4,16.7,1
25,9.5,1
20,8.05,0
24.5,8.05,0
29,9.5,1
22,7.2292,0
40,7.8958,0
21,7.925,0
18,7.4958,1
4,27.9,0
10,27.9,0
9,27.9,0
2,27.9,0
40,27.9,0
45,27.9,0
19,7.65,0
30,8.05,0
32,8.05,0
33,8.6625,0
23,7.55,1
21,8.05,0
19,7.8958,0
22,9.8375,0
31,7.925,1
27,8.6625,0
2,10.4625,0
29,10.4625,0
16,8.05,1
44,7.925,1
25,7.05,0
74,7.775,0
14,9.225,1
24,7.7958,0
25,7.7958,1
34,8.05,0
0.4167,8.5167,1
16,8.5167,1
32,7.925,0
30.5,8.05,0
44,8.05,0
25,0,1
7,15.2458,1
9,15.2458,1
29,15.2458,1
36,7.8958,0
18,9.8417,1
63,9.5875,1
11.5,14.5,0
40.5,14.5,0
10,24.15,0
36,24.15,0
30,24.15,0
33,9.5,0
28,9.5,0
28,9.5,0
47,9,0
18,18,0
31,18,0
16,18,0
31,18,0
22,7.225,1
20,7.8542,0
14,7.8542,0
22,7.8958,0
22,9,0
32.5,9.5,0
38,7.2292,1
51,7.75,0
18,6.4958,0
21,6.4958,0
47,7,1
28.5,16.1,0
21,7.25,0
27,8.6625,0
36,9.5,0
27,14.4542,0
15,14.4542,1
45.5,7.225,0
14.5,14.4542,0
26.5,7.225,0
27,7.225,0
29,7.875,0
