MEDV,LON,LAT,CRIME,ZONE,INDUS,NOX,ROOM,AGE,DIST,RADIAL,TAX,PTRATIO,LSTAT
290,-70.964,42.2765,1.35472,0,8.14,0.538,6.072,100,4.175,4,307,21,13.04
264,-70.972,42.2765,1.38799,0,8.14,0.538,5.95,82,3.99,4,307,21,27.71
262,-70.9795,42.276,1.15172,0,8.14,0.538,5.701,95,3.7872,4,307,21,18.35
270,-70.9775,42.272,1.61282,0,8.14,0.538,6.096,96.9,3.7598,4,307,21,20.34
378,-71,42.27,0.06417,0,5.96,0.499,5.933,68.2,3.3603,5,279,19.2,9.68
400,-71.008,42.2745,0.09744,0,5.96,0.499,5.841,61.4,3.3779,5,279,19.2,11.41
420,-71.004,42.2865,0.08014,0,5.96,0.499,5.85,41.5,3.9342,5,279,19.2,8.77
494,-71.02,42.2875,0.17505,0,5.96,0.499,5.966,30.2,3.8473,5,279,19.2,10.13
616,-71.013,42.313,0.02763,75,2.95,0.428,6.595,21.8,5.4011,3,252,18.3,4.32
698,-71.03,42.324,0.03359,75,2.95,0.428,7.024,15.8,5.4011,3,252,18.3,1.98
532,-71.004,42.335,0.12744,0,6.91,0.448,6.77,2.9,5.7209,3,233,17.9,4.84
506,-71.003,42.3235,0.1415,0,6.91,0.448,6.169,6.6,5.7209,3,233,17.9,5.81
494,-70.9775,42.3237,0.15936,0,6.91,0.448,6.211,6.5,5.7209,3,233,17.9,7.44
424,-70.9675,42.317,0.12269,0,6.91,0.448,6.069,40,5.7209,3,233,17.9,9.55
386,-70.9725,42.3075,0.17142,0,6.91,0.448,5.682,33.8,5.1004,3,233,17.9,10.21
400,-70.965,42.3075,0.18836,0,6.91,0.448,5.786,33.3,5.1004,3,233,17.9,14.15
332,-70.956,42.3125,0.22927,0,6.91,0.448,6.03,85.5,5.6894,3,233,17.9,18.8
288,-70.955,42.3165,0.25387,0,6.91,0.448,5.399,95.3,5.87,3,233,17.9,30.81
388,-70.9525,42.3208,0.21977,0,6.91,0.448,5.602,62,6.0877,3,233,17.9,16.2
394,-70.951,42.334,0.08873,21,5.64,0.439,5.963,45.7,6.8147,4,243,16.8,13.45
410,-70.963,42.3382,0.04337,21,5.64,0.439,6.115,63,6.8147,4,243,16.8,9.43
500,-70.958,42.346,0.0536,21,5.64,0.439,6.511,21.1,6.8147,4,243,16.8,5.28
468,-70.978,42.3425,0.04981,21,5.64,0.439,5.998,21.4,6.8147,4,243,16.8,8.43
378,-71.0175,42.3715,0.0136,75,4,0.41,5.888,47.6,7.3197,3,469,21.1,14.8
708,-70.9625,42.381,0.01311,90,1.22,0.403,7.249,21.9,8.6966,5,226,17.9,4.81
494,-70.93,42.374,0.02055,85,0.74,0.41,6.383,35.7,9.1876,2,313,17.3,5.77
632,-70.9295,42.3715,0.01432,100,1.32,0.411,6.816,40.5,8.3248,5,256,15.1,3.95
466,-70.9385,42.346,0.15445,25,5.13,0.453,6.145,29.2,7.8148,8,284,19.7,6.86
392,-70.94,42.332,0.10328,25,5.13,0.453,5.927,47.2,6.932,8,284,19.7,9.22
374,-70.93,42.337,0.14932,25,5.13,0.453,5.741,66.2,7.2254,8,284,19.7,13.15
320,-70.93,42.3275,0.17171,25,5.13,0.453,5.966,93.4,6.8185,8,284,19.7,14.44
444,-70.9215,42.332,0.11027,25,5.13,0.453,6.456,67.8,7.2255,8,284,19.7,6.73
500,-70.9075,42.339,0.1265,25,5.13,0.453,6.762,43.4,7.9809,8,284,19.7,9.5
660,-70.86,42.345,0.01951,17.5,1.38,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05
470,-71.045,42.345,0.03584,80,3.37,0.398,6.29,17.8,6.6115,4,337,16.1,4.67
388,-71.069,42.3525,0.04379,80,3.37,0.398,5.787,31.1,6.6115,4,337,16.1,10.24
440,-71.09,42.3362,0.05789,12.5,6.07,0.409,5.878,21.4,6.498,4,345,18.9,8.1
348,-71.108,42.34,0.13554,12.5,6.07,0.409,5.594,36.8,6.498,4,345,18.9,13.09
418,-71.111,42.327,0.12816,12.5,6.07,0.409,5.885,33,6.498,4,345,18.9,8.79
484,-71.121,42.316,0.08826,0,10.81,0.413,6.417,6.6,5.2873,4,305,19.2,6.72
434,-71.1095,42.3008,0.15876,0,10.81,0.413,5.961,17.5,5.2873,4,305,19.2,9.88
456,-71.13,42.305,0.09164,0,10.81,0.413,6.065,7.8,5.2873,4,305,19.2,5.52
468,-71.123,42.292,0.19539,0,10.81,0.413,6.245,6.2,5.2873,4,305,19.2,7.54
482,-71.1105,42.289,0.07896,0,12.83,0.437,6.273,6,4.2515,5,398,18.7,6.78
428,-71.1,42.2875,0.09512,0,12.83,0.437,6.286,45,4.5026,5,398,18.7,8.94
400,-71.09,42.2835,0.10153,0,12.83,0.437,6.279,74.5,4.0522,5,398,18.7,11.97
416,-71.076,42.2895,0.08707,0,12.83,0.437,6.14,45.8,4.0905,5,398,18.7,10.27
424,-71.0905,42.295,0.05646,0,12.83,0.437,6.232,53.7,5.0141,5,398,18.7,12.34
406,-71.091,42.305,0.08387,0,12.83,0.437,5.874,36.6,4.5026,5,398,18.7,9.1
560,-71.0685,42.308,0.04113,25,4.86,0.426,6.727,33.5,5.4007,4,281,19,5.29
478,-71.069,42.315,0.04462,25,4.86,0.426,6.619,70.4,5.4007,4,281,19,7.22
496,-71.0675,42.326,0.03659,25,4.86,0.426,6.302,32.2,5.4007,4,281,19,6.72
458,-71.0575,42.317,0.03551,25,4.86,0.426,6.167,46.7,5.4007,4,281,19,7.51
478,-71.043,42.3075,0.05059,0,4.49,0.449,6.389,48,4.7794,3,247,18.5,9.62
532,-71.05,42.3,0.05735,0,4.49,0.449,6.63,56.1,4.4377,3,247,18.5,6.53
450,-71.033,42.305,0.05188,0,4.49,0.449,6.015,45.1,4.4272,3,247,18.5,12.86
444,-71.039,42.2885,0.07151,0,4.49,0.449,6.121,56.8,3.7476,3,247,18.5,8.44
472,-71.042,42.2796,0.0566,0,3.41,0.489,7.007,86.3,3.4217,2,270,17.8,5.5
574,-71.0345,42.2785,0.05302,0,3.41,0.489,7.079,63.1,3.4145,2,270,17.8,5.7
452,-71.03,42.272,0.04684,0,3.41,0.489,6.417,66.1,3.0923,2,270,17.8,8.81
440,-71.0425,42.2715,0.03932,0,3.41,0.489,6.405,73.9,3.0921,2,270,17.8,8.2
458,-71.053,42.283,0.04203,28,15.04,0.464,6.442,53.6,3.6659,4,270,18.2,8.16
500,-71.062,42.296,0.02875,28,15.04,0.464,6.211,28.9,3.6659,4,270,18.2,6.21
412,-71.0615,42.284,0.04294,28,15.04,0.464,6.249,77.3,3.615,4,270,18.2,10.59
568,-71.076,42.2775,0.12204,0,2.89,0.445,6.625,57.8,3.4952,2,276,18,6.65
428,-71.085,42.2775,0.11504,0,2.89,0.445,6.163,69.6,3.4952,2,276,18,11.34
774,-71.089,42.2715,0.12083,0,2.89,0.445,8.069,76,3.4952,2,276,18,4.21
876,-71.0982,42.2685,0.08187,0,2.89,0.445,7.82,36.9,3.4952,2,276,18,3.57
664,-71.08,42.268,0.0686,0,2.89,0.445,7.416,62.5,3.4952,2,276,18,6.19
550,-71.0668,42.2545,0.14866,0,8.56,0.52,6.727,79.9,2.7778,5,384,20.9,9.42
530,-71.081,42.245,0.11432,0,8.56,0.52,6.781,71.3,2.8561,5,384,20.9,7.67
372,-71.0812,42.2515,0.22876,0,8.56,0.52,6.405,85.4,2.7147,5,384,20.9,10.63
386,-71.077,42.249,0.21161,0,8.56,0.52,6.137,87.4,2.7147,5,384,20.9,13.44
402,-71.069,42.248,0.1396,0,8.56,0.52,6.167,90,2.421,5,384,20.9,12.33
390,-71.0662,42.2425,0.13262,0,8.56,0.52,5.851,96.7,2.1069,5,384,20.9,16.47
390,-71.0622,42.2431,0.1712,0,8.56,0.52,5.836,91.9,2.211,5,384,20.9,18.66
408,-71.0553,42.2465,0.13117,0,8.56,0.52,6.127,85.2,2.1224,5,384,20.9,14.09
396,-71.055,42.2505,0.12802,0,8.56,0.52,6.474,97.1,2.4329,5,384,20.9,12.27
388,-71.06,42.254,0.26363,0,8.56,0.52,6.229,91.2,2.5451,5,384,20.9,15.55
434,-71.056,42.2605,0.10793,0,8.56,0.52,6.195,54.4,2.7778,5,384,20.9,13
456,-71.0475,42.261,0.10084,0,10.01,0.547,6.715,81.6,2.6775,6,432,17.8,10.16
376,-71.049,42.253,0.12329,0,10.01,0.547,5.913,92.9,2.3534,6,432,17.8,16.21
374,-71.0428,42.258,0.22212,0,10.01,0.547,6.092,95.4,2.548,6,432,17.8,17.09
370,-71.0396,42.2512,0.14231,0,10.01,0.547,6.254,84.2,2.2565,6,432,17.8,10.45
366,-71.0355,42.2545,0.17134,0,10.01,0.547,5.928,88.2,2.4631,6,432,17.8,15.76
424,-71.036,42.2608,0.13158,0,10.01,0.547,6.176,72.5,2.7301,6,432,17.8,12.04
384,-71.0285,42.262,0.15098,0,10.01,0.547,6.021,82.6,2.7474,6,432,17.8,10.3
408,-71.0285,42.258,0.13058,0,10.01,0.547,5.872,73.1,2.4775,6,432,17.8,15.37
386,-71.019,42.2605,0.14476,0,10.01,0.547,5.731,65.2,2.7592,6,432,17.8,13.61
440,-71.0243,42.2483,0.06899,0,25.65,0.581,5.87,69.7,2.2577,2,188,19.1,14.37
406,-71.0312,42.2505,0.07165,0,25.65,0.581,6.004,84.1,2.1974,2,188,19.1,14.27
410,-71.0377,42.247,0.09299,0,25.65,0.581,5.961,92.9,2.0869,2,188,19.1,17.93
346,-71.037,42.2435,0.15038,0,25.65,0.581,5.856,97,1.9444,2,188,19.1,25.41
376,-71.0308,42.245,0.09849,0,25.65,0.581,5.879,95.8,2.0063,2,188,19.1,17.58
428,-71.0262,42.2431,0.16902,0,25.65,0.581,5.986,88.4,1.9929,2,188,19.1,14.81
314,-71.0333,42.2395,0.38735,0,25.65,0.581,5.613,95.6,1.7572,2,188,19.1,27.26
324,-71.053,42.2355,0.25915,0,21.89,0.624,5.693,96,1.7883,4,437,21.2,17.19
360,-71.058,42.235,0.32543,0,21.89,0.624,6.431,98.8,1.8125,4,437,21.2,15.39
286,-71.0638,42.2368,0.88125,0,21.89,0.624,5.637,94.7,1.9799,4,437,21.2,18.34
384,-71.0692,42.239,0.34006,0,21.89,0.624,6.458,98.9,2.1185,4,437,21.2,12.6
392,-71.075,42.24,1.19294,0,21.89,0.624,6.326,97.7,2.271,4,437,21.2,12.26
460,-71.0745,42.2405,0.59005,0,21.89,0.624,6.372,97.9,2.3274,4,437,21.2,11.12
368,-71.079,42.245,0.32982,0,21.89,0.624,5.822,95.4,2.4699,4,437,21.2,15.03
312,-71.076,42.2405,0.97617,0,21.89,0.624,5.757,98.4,2.346,4,437,21.2,17.31
362,-71.075,42.2362,0.55778,0,21.89,0.624,6.335,98.2,2.1107,4,437,21.2,16.96
348,-71.0677,42.2335,0.32264,0,21.89,0.624,5.942,93.5,1.9669,4,437,21.2,16.9
342,-71.063,42.2325,0.35233,0,21.89,0.624,6.454,98.4,1.8498,4,437,21.2,14.59
266,-71.062,42.2275,0.2498,0,21.89,0.624,5.857,98.2,1.6686,4,437,21.2,21.32
356,-71.0568,42.23,0.54452,0,21.89,0.624,6.151,97.9,1.6687,4,437,21.2,18.46
280,-71.0518,42.2312,0.2909,0,21.89,0.624,6.174,93.6,1.6119,4,437,21.2,24.16
288,-71.0543,42.2265,1.62864,0,21.89,0.624,5.019,100,1.4394,4,437,21.2,34.41
268,-71.048,42.2222,3.32105,0,19.58,0.871,5.403,100,1.3216,5,403,14.7,26.82
312,-71.0519,42.223,4.0974,0,19.58,0.871,5.468,100,1.4118,5,403,14.7,26.42
236,-71.051,42.2205,2.77974,0,19.58,0.871,4.903,97.8,1.3459,5,403,14.7,29.29
276,-71.054,42.219,2.37934,0,19.58,0.871,6.13,100,1.4191,5,403,14.7,27.8
312,-71.059,42.221,2.15505,0,19.58,0.871,5.628,100,1.5166,5,403,14.7,16.65
292,-71.0555,42.2222,2.36862,0,19.58,0.871,4.926,95.7,1.4608,5,403,14.7,29.53
356,-71.0567,42.224,2.33099,0,19.58,0.871,5.186,93.8,1.5296,5,403,14.7,28.32
308,-71.058,42.223,2.73397,0,19.58,0.871,5.597,94.9,1.5257,5,403,14.7,21.45
430,-71.062,42.2236,1.6566,0,19.58,0.871,6.122,97.3,1.618,5,403,14.7,14.1
392,-71.0622,42.2205,1.49632,0,19.58,0.871,5.404,100,1.5916,5,403,14.7,13.28
306,-71.059,42.217,1.12658,0,19.58,0.871,5.012,88,1.6102,5,403,14.7,12.12
388,-71.0645,42.215,2.14918,0,19.58,0.871,5.709,98.5,1.6232,5,403,14.7,15.79
340,-71.0662,42.2162,1.41385,0,19.58,0.871,6.129,96,1.7494,5,403,14.7,15.12
312,-71.068,42.215,3.53501,0,19.58,0.871,6.152,82.6,1.7455,5,403,14.7,15.02
262,-71.0667,42.22,2.44668,0,19.58,0.871,5.272,94,1.7364,5,403,14.7,16.14
826,-71.069,42.2285,1.22358,0,19.58,0.605,6.943,97.4,1.8773,5,403,14.7,4.59
486,-71.067,42.2245,1.34284,0,19.58,0.605,6.066,100,1.7573,5,403,14.7,6.43
466,-71.065,42.2223,1.42502,0,19.58,0.871,6.51,100,1.7659,5,403,14.7,7.39
540,-71.07,42.2214,1.27346,0,19.58,0.605,6.25,92.6,1.7984,5,403,14.7,5.5
1000,-71.0735,42.2282,1.46336,0,19.58,0.605,7.489,90.8,1.9709,5,403,14.7,1.73
1000,-71.077,42.225,1.83377,0,19.58,0.605,7.802,98.2,2.0407,5,403,14.7,1.92
1000,-71.0815,42.225,1.51902,0,19.58,0.605,8.375,93.9,2.162,5,403,14.7,3.32
454,-71.0918,42.2265,2.24236,0,19.58,0.605,5.854,91.8,2.422,5,403,14.7,11.64
500,-71.082,42.2295,2.924,0,19.58,0.605,6.101,93,2.2834,5,403,14.7,9.81
1000,-71.077,42.2305,2.01019,0,19.58,0.605,7.929,96.2,2.0459,5,403,14.7,3.7
476,-71.0866,42.2345,1.80028,0,19.58,0.605,5.877,79.2,2.4259,5,403,14.7,12.14
476,-71.074,42.2331,2.3004,0,19.58,0.605,6.319,96.1,2.1,5,403,14.7,11.1
446,-71.0775,42.2351,2.44953,0,19.58,0.605,6.402,95.2,2.2625,5,403,14.7,11.32
348,-71.081,42.2368,1.20742,0,19.58,0.605,5.875,94.6,2.4259,5,403,14.7,14.43
382,-71.0792,42.239,2.3139,0,19.58,0.605,5.88,97.3,2.3887,5,403,14.7,12.03
462,-71.087,42.2416,0.13914,0,4.05,0.51,5.572,88.5,2.5961,5,296,16.6,14.69
472,-71.0855,42.245,0.09178,0,4.05,0.51,6.416,84.1,2.6463,5,296,16.6,9.04
452,-71.0833,42.2475,0.08447,0,4.05,0.51,5.859,68.7,2.7019,5,296,16.6,9.64
588,-71.094,42.2575,0.06664,0,4.05,0.51,6.546,33.1,3.1323,5,296,16.6,5.33
464,-71.1125,42.255,0.07022,0,4.05,0.51,6.02,47.2,3.5549,5,296,16.6,10.11
492,-71.106,42.2512,0.05425,0,4.05,0.51,6.315,73.4,3.3175,5,296,16.6,6.29
598,-71.0965,42.247,0.06642,0,4.05,0.51,6.86,74.4,2.9153,5,296,16.6,6.92
744,-71.1,42.2408,0.0578,0,2.46,0.488,6.98,58.4,2.829,3,193,17.8,5.04
796,-71.0995,42.2345,0.06588,0,2.46,0.488,7.765,83.3,2.741,3,193,17.8,7.56
724,-71.0966,42.2282,0.06888,0,2.46,0.488,6.144,62.2,2.5979,3,193,17.8,9.45
758,-71.1005,42.2287,0.09103,0,2.46,0.488,7.155,92.2,2.7006,3,193,17.8,4.82
650,-71.1065,42.23,0.10008,0,2.46,0.488,6.563,95.6,2.847,3,193,17.8,5.68
528,-71.112,42.23,0.08308,0,2.46,0.488,5.604,89.8,2.9879,3,193,17.8,13.98
592,-71.1175,42.235,0.06047,0,2.46,0.488,6.153,68.8,3.2797,3,193,17.8,13.15
1000,-71.1115,42.2442,0.05602,0,2.46,0.488,7.831,53.6,3.1992,3,193,17.8,4.45
640,-71.122,42.2565,0.07875,45,3.44,0.437,6.782,41.1,3.7886,5,398,15.2,6.68
596,-71.1408,42.255,0.12579,45,3.44,0.437,6.556,29.1,4.5667,5,398,15.2,4.56
698,-71.145,42.2651,0.0837,45,3.44,0.437,7.185,38.9,4.5667,5,398,15.2,5.39
740,-71.1216,42.27,0.09068,45,3.44,0.437,6.951,21.5,6.4798,5,398,15.2,5.1
610,-71.1485,42.2765,0.06911,45,3.44,0.437,6.739,30.8,6.4798,5,398,15.2,4.69
728,-71.134,42.2785,0.08664,45,3.44,0.437,7.178,26.3,6.4798,5,398,15.2,2.87
622,-71.1525,42.3,0.02187,60,2.93,0.401,6.8,9.9,6.2196,1,265,15.6,5.03
582,-71.1633,42.303,0.01439,60,2.93,0.401,6.604,18.8,6.2196,1,265,15.6,4.38
1000,-71.189,42.2525,0.01381,80,0.46,0.422,7.875,32,5.6484,4,255,14.4,2.97
666,-71.22,42.2715,0.04011,80,1.52,0.404,7.287,34.1,7.309,2,329,12.6,4.08
606,-71.24,42.2725,0.04666,80,1.52,0.404,7.107,36.6,7.309,2,329,12.6,8.61
692,-71.222,42.289,0.03768,80,1.52,0.404,7.274,38.3,7.309,2,329,12.6,6.62
698,-71.244,42.2425,0.0315,95,1.47,0.403,6.975,15.3,7.6534,3,402,17,4.56
658,-71.263,42.2225,0.01778,95,1.47,0.403,7.135,13.9,7.6534,3,402,17,4.45
482,-71.2185,42.1955,0.03445,82.5,2.03,0.415,6.162,38.4,6.27,2,348,14.7,7.43
846,-71.214,42.218,0.02177,82.5,2.03,0.415,7.61,15.7,6.27,2,348,14.7,3.11
970,-71.199,42.232,0.0351,95,2.68,0.4161,7.853,33.2,5.118,4,224,14.7,3.81
1000,-71.199,42.2058,0.02009,95,2.68,0.4161,8.034,31.9,5.118,4,224,14.7,2.88
452,-71.1475,42.2445,0.13642,0,10.59,0.489,5.891,22.3,3.9454,4,277,18.6,10.87
488,-71.15,42.2308,0.22969,0,10.59,0.489,6.326,52.5,4.3549,4,277,18.6,10.97
450,-71.149,42.2268,0.25199,0,10.59,0.489,5.783,72.7,4.3549,4,277,18.6,18.06
488,-71.1503,42.222,0.13587,0,10.59,0.489,6.064,59.1,4.2392,4,277,18.6,14.66
400,-71.143,42.2217,0.43571,0,10.59,0.489,5.344,100,3.875,4,277,18.6,23.09
434,-71.1435,42.2177,0.17446,0,10.59,0.489,5.96,92.1,3.8771,4,277,18.6,17.27
386,-71.138,42.2216,0.37578,0,10.59,0.489,5.404,88.6,3.665,4,277,18.6,23.98
448,-71.1335,42.225,0.21719,0,10.59,0.489,5.807,53.8,3.6526,4,277,18.6,16.03
562,-71.1375,42.2355,0.14052,0,10.59,0.489,6.375,32.3,3.9454,4,277,18.6,9.38
474,-71.127,42.235,0.28955,0,10.59,0.489,5.412,9.8,3.5875,4,277,18.6,29.55
500,-71.1245,42.2277,0.19802,0,10.59,0.489,6.182,42.4,3.9454,4,277,18.6,9.47
466,-71.1166,42.223,0.0456,0,13.89,0.55,5.888,56,3.1121,5,276,16.4,13.51
574,-71.105,42.2235,0.07013,0,13.89,0.55,6.642,85.1,3.4211,5,276,16.4,9.69
430,-71.0933,42.222,0.11069,0,13.89,0.55,5.951,93.8,2.8893,5,276,16.4,17.92
460,-71.106,42.2185,0.11425,0,13.89,0.55,6.373,92.4,3.3633,5,276,16.4,10.5
534,-71.11,42.2137,0.35809,0,6.2,0.507,6.951,88.5,2.8617,8,307,17.4,9.71
434,-71.121,42.2166,0.40771,0,6.2,0.507,6.164,91.3,3.048,8,307,17.4,21.46
550,-71.125,42.2134,0.62356,0,6.2,0.507,6.879,77.7,3.2721,8,307,17.4,9.93
602,-71.1208,42.2183,0.6147,0,6.2,0.507,6.618,80.8,3.2721,8,307,17.4,7.6
896,-71.11,42.206,0.31533,0,6.2,0.504,8.266,78.3,2.8944,8,307,17.4,4.14
1000,-71.1012,42.1975,0.52693,0,6.2,0.504,8.725,83,2.8944,8,307,17.4,4.63
752,-71.1215,42.2025,0.38214,0,6.2,0.504,8.04,86.5,3.2157,8,307,17.4,3.13
632,-71.116,42.1947,0.41238,0,6.2,0.504,7.163,79.9,3.2157,8,307,17.4,6.36
934,-71.11,42.185,0.29819,0,6.2,0.504,7.686,17,3.3751,8,307,17.4,3.92
630,-71.119,42.1807,0.44178,0,6.2,0.504,6.552,21.4,3.3751,8,307,17.4,3.76
486,-71.13,42.188,0.537,0,6.2,0.504,5.981,68.1,3.6715,8,307,17.4,11.65
634,-71.1285,42.193,0.46296,0,6.2,0.504,7.412,76.9,3.6715,8,307,17.4,5.25
834,-71.14,42.1946,0.57529,0,6.2,0.507,8.337,73.3,3.8384,8,307,17.4,2.47
966,-71.134,42.204,0.33147,0,6.2,0.507,8.247,70.4,3.6519,8,307,17.4,3.95
580,-71.132,42.2142,0.44791,0,6.2,0.507,6.726,66.5,3.6519,8,307,17.4,8.05
480,-71.138,42.2141,0.33045,0,6.2,0.507,6.086,61.5,3.6519,8,307,17.4,10.88
502,-71.1485,42.211,0.52058,0,6.2,0.507,6.631,76.5,4.148,8,307,17.4,9.54
630,-71.1491,42.203,0.51183,0,6.2,0.507,7.358,71.6,4.148,8,307,17.4,4.73
474,-71.2055,42.1875,0.08244,30,4.93,0.428,6.481,18.5,6.1899,6,300,16.6,6.36
466,-71.2035,42.187,0.09252,30,4.93,0.428,6.606,42.2,6.1899,6,300,16.6,7.37
440,-71.1966,42.164,0.11329,30,4.93,0.428,6.897,54.3,6.3361,6,300,16.6,11.38
402,-71.2138,42.1645,0.10612,30,4.93,0.428,6.095,65.1,6.3361,6,300,16.6,12.4
444,-71.22,42.1782,0.1029,30,4.93,0.428,6.358,52.9,7.0355,6,300,16.6,11.22
474,-71.232,42.1725,0.12757,30,4.93,0.428,6.393,7.8,7.0355,6,300,16.6,5.19
352,-71.2435,42.163,0.20608,22,5.86,0.431,5.593,76.5,7.9549,7,330,19.1,12.5
370,-71.2575,42.1618,0.19133,22,5.86,0.431,5.605,70.2,7.9549,7,330,19.1,18.46
486,-71.262,42.169,0.33983,22,5.86,0.431,6.108,34.9,8.0555,7,330,19.1,9.16
410,-71.247,42.1703,0.19657,22,5.86,0.431,6.226,79.2,8.0555,7,330,19.1,10.15
490,-71.255,42.1767,0.16439,22,5.86,0.431,6.433,49.1,7.8265,7,330,19.1,9.52
524,-71.2475,42.1825,0.19073,22,5.86,0.431,6.718,17.5,7.8265,7,330,19.1,6.56
488,-71.238,42.191,0.1403,22,5.86,0.431,6.487,13,7.3967,7,330,19.1,5.9
496,-71.2435,42.1982,0.21409,22,5.86,0.431,6.438,8.9,7.3967,7,330,19.1,3.59
592,-71.2685,42.1935,0.08221,22,5.86,0.431,6.957,6.8,8.9067,7,330,19.1,3.53
856,-71.2807,42.1727,0.36894,22,5.86,0.431,8.259,8.4,8.9067,7,330,19.1,3.54
438,-71.2895,42.1575,0.04819,80,3.64,0.392,6.108,32,9.2203,1,315,16.4,6.57
418,-71.269,42.1482,0.03548,80,3.64,0.392,5.876,19.1,9.2203,1,315,16.4,9.25
880,-71.223,42.145,0.01538,90,3.75,0.394,7.454,34.2,6.3361,3,244,15.9,3.11
1000,-71.0679,42.2073,0.61154,20,3.97,0.647,8.704,86.9,1.801,5,264,13,5.12
720,-71.0727,42.2077,0.66351,20,3.97,0.647,7.333,100,1.8946,5,264,13,7.79
602,-71.0765,42.2075,0.65665,20,3.97,0.647,6.842,100,2.0107,5,264,13,6.9
676,-71.08,42.204,0.54011,20,3.97,0.647,7.203,81.8,2.1121,5,264,13,9.59
862,-71.079,42.202,0.53412,20,3.97,0.647,7.52,89.4,2.1398,5,264,13,7.26
976,-71.0835,42.2,0.52014,20,3.97,0.647,8.398,91.5,2.2885,5,264,13,5.91
620,-71.075,42.198,0.82526,20,3.97,0.647,7.327,94.5,2.0788,5,264,13,11.25
730,-71.071,42.203,0.55007,20,3.97,0.647,7.206,91.6,1.9301,5,264,13,8.1
456,-71.07,42.2,0.76162,20,3.97,0.647,5.56,62.8,1.9865,5,264,13,10.45
614,-71.0725,42.1965,0.7857,20,3.97,0.647,7.014,84.6,2.1329,5,264,13,14.79
1000,-71.085,42.1925,0.57834,20,3.97,0.575,8.297,67,2.4216,5,264,13,7.44
870,-71.0925,42.2075,0.5405,20,3.97,0.575,7.47,52.6,2.872,5,264,13,3.16
414,-71.098,42.154,0.09065,20,6.96,0.464,5.92,61.5,3.9175,3,223,18.6,13.65
