"year","age","schooling","income","party","philosophy","legal","gender"
1975,24,14,"$10000 - 14999","Not str democrat","Liberal",0,"Male"
1975,70,12,"$3000 to 3999","Not str republican","Moderate",1,"Female"
1975,24,12,"$15000 - 19999","Ind,near dem","Moderate",1,"Male"
1975,23,12,"$4000 to 4999","Ind,near dem","Slightly liberal",0,"Female"
1975,39,11,"$10000 - 14999","Not str democrat","Slightly liberal",1,"Male"
1975,30,9,"$10000 - 14999","Not str democrat","Liberal",1,"Male"
1975,59,12,"$10000 - 14999","Independent","Moderate",0,"Male"
1975,21,13,"$8000 to 9999","Ind,near dem","Extremely liberal",1,"Female"
1975,29,12,"$10000 - 14999","Ind,near rep","Moderate",0,"Male"
1975,38,12,"$6000 to 6999","Not str republican","Moderate",0,"Male"
1975,74,8,"$10000 - 14999","Not str republican","Moderate",0,"Male"
1975,29,10,"$8000 to 9999","Not str republican","Moderate",0,"Male"
1975,79,8,"$4000 to 4999","Ind,near dem","Moderate",0,"Male"
1975,52,14,"$7000 to 7999","Not str democrat","Moderate",0,"Female"
1975,70,6,"$25000 or more","Not str democrat","Conservative",0,"Male"
1975,69,16,"$4000 to 4999","Strong republican","Moderate",0,"Female"
1975,43,13,"$25000 or more","Ind,near dem","Conservative",0,"Male"
1975,50,16,"$25000 or more","Not str republican","Slightly liberal",0,"Male"
1975,67,12,"$15000 - 19999","Not str republican","Slghtly conservative",0,"Male"
1975,24,14,"$20000 - 24999","Strong democrat","Slightly liberal",0,"Male"
1975,65,17,"$15000 - 19999","Ind,near rep","Slightly liberal",0,"Female"
1975,22,12,"$5000 to 5999","Not str democrat","Moderate",0,"Female"
1975,81,7,"$5000 to 5999","Not str democrat","Slghtly conservative",0,"Female"
1975,23,12,"$8000 to 9999","Ind,near dem","Slightly liberal",1,"Male"
1975,38,12,"$15000 - 19999","Not str democrat","Moderate",0,"Male"
1975,28,12,"$15000 - 19999","Independent","Moderate",0,"Male"
1975,25,13,"$15000 - 19999","Ind,near rep","Extrmly conservative",1,"Male"
1975,25,14,"$15000 - 19999","Ind,near dem","Liberal",1,"Male"
1975,23,16,"$8000 to 9999","Not str democrat","Liberal",1,"Female"
1975,38,16,"$15000 - 19999","Ind,near dem","Liberal",1,"Male"
1975,25,16,"$7000 to 7999","Not str republican","Slghtly conservative",0,"Male"
1975,23,12,"$10000 - 14999","Ind,near dem","Moderate",1,"Male"
1975,41,16,"$20000 - 24999","Ind,near rep","Conservative",0,"Male"
1975,47,7,"Refused","Not str democrat","Liberal",0,"Male"
1975,33,12,"$15000 - 19999","Not str democrat","Moderate",0,"Male"
1975,74,14,"$7000 to 7999","Not str democrat","Moderate",0,"Female"
1975,42,16,"$10000 - 14999","Not str democrat","Moderate",0,"Female"
1975,42,8,"$10000 - 14999","Not str democrat","Slghtly conservative",0,"Male"
1975,31,11,"$6000 to 6999","Ind,near dem","Moderate",0,"Male"
1975,45,12,"$15000 - 19999","Strong democrat","Slightly liberal",0,"Male"
1975,48,12,"$10000 - 14999","Strong democrat","Moderate",0,"Male"
1975,71,8,"$7000 to 7999","Not str republican","Conservative",0,"Male"
1975,31,12,"$15000 - 19999","Strong democrat","Conservative",0,"Male"
1975,27,12,"$15000 - 19999","Not str democrat","Slightly liberal",1,"Male"
1975,25,12,"$15000 - 19999","Not str republican","Slightly liberal",0,"Male"
1975,56,13,"$20000 - 24999","Ind,near dem","Moderate",0,"Male"
1975,43,12,"$20000 - 24999","Not str democrat","Moderate",0,"Male"
1975,28,12,"$10000 - 14999","Strong democrat","Slightly liberal",1,"Male"
1975,23,15,"$10000 - 14999","Strong democrat","Slightly liberal",0,"Female"
1975,53,10,"$15000 - 19999","Not str republican","Moderate",0,"Male"
1975,63,8,"$20000 - 24999","Not str republican","Slghtly conservative",0,"Male"
1975,37,9,"$7000 to 7999","Not str democrat","Liberal",0,"Female"
1975,28,14,"$10000 - 14999","Independent","Slghtly conservative",0,"Male"
1975,24,12,"$6000 to 6999","Independent","Extremely liberal",0,"Female"
1975,29,12,"$8000 to 9999","Not str democrat","Moderate",1,"Male"
1975,20,13,"$20000 - 24999","Not str democrat","Extremely liberal",0,"Male"
1975,47,10,"$10000 - 14999","Not str republican","Slghtly conservative",0,"Male"
1975,42,11,"$10000 - 14999","Not str democrat","Moderate",1,"Female"
1975,70,17,"$8000 to 9999","Strong democrat","Liberal",1,"Male"
1975,76,8,"$10000 - 14999","Strong republican","Slghtly conservative",0,"Male"
1975,32,9,"$20000 - 24999","Not str democrat","Moderate",1,"Male"
1975,25,12,"$15000 - 19999","Not str republican","Conservative",0,"Male"
1975,45,12,"$10000 - 14999","Strong democrat","Slightly liberal",1,"Male"
1975,34,12,"$15000 - 19999","Not str republican","Slghtly conservative",0,"Male"
1975,34,12,"$25000 or more","Not str republican","Liberal",0,"Male"
1975,40,14,"$25000 or more","Independent","Slightly liberal",0,"Male"
1975,59,14,"$4000 to 4999","Strong democrat","Conservative",0,"Male"
1975,63,13,"$7000 to 7999","Not str democrat","Slightly liberal",0,"Female"
1975,67,14,"$10000 - 14999","Strong republican","Conservative",0,"Female"
1975,50,13,"$25000 or more","Independent","Moderate",0,"Male"
1975,80,7,"$10000 - 14999","Not str republican","Moderate",0,"Female"
1975,45,10,"$10000 - 14999","Not str democrat","Slightly liberal",0,"Male"
1975,49,11,"$15000 - 19999","Not str democrat","Conservative",0,"Male"
1975,24,12,"$8000 to 9999","Ind,near dem","Liberal",0,"Male"
1975,25,17,"$15000 - 19999","Ind,near rep","Liberal",1,"Male"
1975,41,11,"$15000 - 19999","Strong democrat","Moderate",0,"Male"
1975,45,12,"$10000 - 14999","Not str democrat","Moderate",0,"Male"
1975,35,11,"$10000 - 14999","Not str democrat","Moderate",0,"Male"
1975,37,13,"$20000 - 24999","Not str republican","Slghtly conservative",0,"Male"
1975,54,13,"$10000 - 14999","Not str democrat","Liberal",0,"Male"
1975,40,16,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1975,59,10,"$7000 to 7999","Not str republican","Slightly liberal",0,"Male"
1975,43,18,"$10000 - 14999","Ind,near dem","Liberal",1,"Female"
1975,59,17,"$15000 - 19999","Ind,near dem","Slightly liberal",0,"Female"
1975,73,8,"$6000 to 6999","Not str republican","Slghtly conservative",0,"Male"
1975,21,12,"$15000 - 19999","Ind,near rep","Moderate",0,"Male"
1975,48,16,"$20000 - 24999","Strong republican","Conservative",0,"Male"
1975,32,14,"$20000 - 24999","Strong republican","Slghtly conservative",0,"Female"
1975,30,19,"Refused","Ind,near rep","Moderate",0,"Male"
1975,53,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1975,71,15,"$10000 - 14999","Strong republican","Moderate",0,"Male"
1975,25,14,"$5000 to 5999","Ind,near dem","Conservative",0,"Male"
1975,64,12,"$25000 or more","Not str republican","Moderate",0,"Male"
1975,36,13,"$10000 - 14999","Ind,near dem","Moderate",0,"Male"
1975,69,11,"$8000 to 9999","Not str republican","Slghtly conservative",0,"Male"
1975,26,12,"$10000 - 14999","Independent","Slightly liberal",0,"Male"
1975,83,12,"$5000 to 5999","Strong republican","Moderate",1,"Male"
1975,40,14,"$20000 - 24999","Not str democrat","Liberal",0,"Male"
1975,41,12,"$10000 - 14999","Strong democrat","Slghtly conservative",0,"Male"
1975,23,13,"$15000 - 19999","Ind,near rep","Slghtly conservative",1,"Male"
1975,29,12,"$8000 to 9999","Ind,near dem","Moderate",1,"Male"
1975,71,12,"$3000 to 3999","Strong republican","Moderate",0,"Male"
1975,50,16,"$20000 - 24999","Strong republican","Extrmly conservative",1,"Male"
1975,68,9,"$5000 to 5999","Strong democrat","Slghtly conservative",0,"Male"
1975,44,16,"$25000 or more","Strong republican","Conservative",0,"Male"
1975,48,12,"$25000 or more","Strong democrat","Moderate",0,"Male"
1975,46,16,"$25000 or more","Strong republican","Conservative",0,"Male"
1975,50,20,"$20000 - 24999","Not str republican","Slghtly conservative",0,"Male"
1975,50,14,"$20000 - 24999","Independent","Moderate",0,"Male"
1975,79,8,"$4000 to 4999","Ind,near rep","Slghtly conservative",0,"Female"
1975,56,8,"$10000 - 14999","Not str democrat","Slightly liberal",0,"Male"
1975,64,13,"$10000 - 14999","Not str republican","Moderate",0,"Male"
1975,19,12,"$8000 to 9999","Strong democrat","Liberal",1,"Male"
1975,50,10,"$10000 - 14999","Strong democrat","Slghtly conservative",0,"Male"
1975,21,12,"$20000 - 24999","Not str republican","Moderate",0,"Male"
1975,20,14,"$10000 - 14999","Ind,near rep","Slghtly conservative",0,"Male"
1975,20,12,"$15000 - 19999","Ind,near rep","Slightly liberal",0,"Male"
1975,20,12,"$7000 to 7999","Not str republican","Slightly liberal",0,"Male"
1975,28,16,"$15000 - 19999","Strong republican","Slghtly conservative",1,"Male"
1975,46,12,"$15000 - 19999","Not str republican","Moderate",0,"Male"
1975,78,8,"$10000 - 14999","Strong republican","Conservative",0,"Male"
1975,20,13,"$4000 to 4999","Ind,near rep","Liberal",0,"Female"
1975,27,17,"$10000 - 14999","Independent","Liberal",1,"Male"
1975,18,10,"$3000 to 3999","Strong democrat","Slghtly conservative",0,"Female"
1975,26,9,"$15000 - 19999","Independent","Slightly liberal",0,"Male"
1975,82,5,"$3000 to 3999","Not str republican","Liberal",0,"Female"
1975,41,12,"$1000 to 2999","Not str democrat","Moderate",0,"Female"
1975,77,6,"Refused","Strong democrat","Moderate",0,"Female"
1975,45,13,"$7000 to 7999","Ind,near rep","Conservative",0,"Female"
1975,69,8,"$1000 to 2999","Strong democrat","Moderate",0,"Female"
1975,72,15,"$6000 to 6999","Strong republican","Moderate",0,"Male"
1975,22,15,"$1000 to 2999","Ind,near dem","Liberal",1,"Female"
1975,49,7,"$20000 - 24999","Strong democrat","Slightly liberal",0,"Male"
1975,63,12,"$25000 or more","Ind,near dem","Liberal",0,"Male"
1975,53,16,"$20000 - 24999","Not str republican","Conservative",0,"Male"
1975,49,14,"$20000 - 24999","Not str republican","Conservative",0,"Male"
1975,49,17,"$25000 or more","Strong republican","Slghtly conservative",0,"Male"
1975,36,10,"$4000 to 4999","Strong democrat","Slghtly conservative",0,"Male"
1975,33,12,"$4000 to 4999","Strong democrat","Moderate",0,"Female"
1975,23,16,"$7000 to 7999","Not str democrat","Liberal",1,"Male"
1975,39,10,"$6000 to 6999","Strong democrat","Conservative",0,"Female"
1975,18,11,"$10000 - 14999","Not str democrat","Slghtly conservative",0,"Male"
1975,42,12,"$10000 - 14999","Not str democrat","Conservative",0,"Male"
1975,49,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1975,33,10,"$10000 - 14999","Independent","Moderate",0,"Male"
1975,23,11,"$10000 - 14999","Not str democrat","Liberal",1,"Male"
1975,70,17,"$7000 to 7999","Not str republican","Conservative",0,"Female"
1975,58,12,"$3000 to 3999","Not str democrat","Slghtly conservative",0,"Female"
1975,24,14,"$10000 - 14999","Strong republican","Liberal",1,"Male"
1975,59,11,"$1000 to 2999","Not str democrat","Slghtly conservative",0,"Female"
1975,33,8,"$3000 to 3999","Not str republican","Slghtly conservative",0,"Male"
1975,31,9,"$8000 to 9999","Independent","Moderate",0,"Male"
1975,65,10,"$4000 to 4999","Independent","Moderate",0,"Male"
1975,28,11,"$10000 - 14999","Not str democrat","Moderate",0,"Male"
1975,50,7,"$3000 to 3999","Not str democrat","Moderate",0,"Female"
1975,36,12,"$25000 or more","Ind,near dem","Conservative",0,"Male"
1975,20,12,"$8000 to 9999","Independent","Moderate",1,"Female"
1975,24,16,"$1000 to 2999","Not str republican","Slightly liberal",0,"Female"
1975,25,16,"$4000 to 4999","Independent","Slightly liberal",1,"Female"
1975,40,18,"$20000 - 24999","Ind,near rep","Slghtly conservative",1,"Male"
1975,34,20,"$25000 or more","Ind,near rep","Conservative",0,"Male"
1975,52,14,"$25000 or more","Not str republican","Moderate",0,"Male"
1975,50,12,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
1975,67,16,"$20000 - 24999","Strong democrat","Slghtly conservative",0,"Male"
1975,30,14,"$25000 or more","Ind,near rep","Moderate",1,"Male"
1975,46,14,"$25000 or more","Ind,near rep","Slghtly conservative",1,"Male"
1975,61,7,"$20000 - 24999","Not str democrat","Slghtly conservative",0,"Male"
1975,62,15,"$1000 to 2999","Not str republican","Conservative",0,"Male"
1975,63,12,"$10000 - 14999","Ind,near dem","Slghtly conservative",0,"Male"
1975,69,12,"$1000 to 2999","Not str democrat","Conservative",0,"Female"
1975,49,11,"$20000 - 24999","Not str democrat","Moderate",0,"Male"
1975,36,14,"$10000 - 14999","Not str democrat","Moderate",0,"Male"
1975,66,10,"$1000 to 2999","Not str democrat","Extremely liberal",0,"Female"
1975,19,12,"$6000 to 6999","Not str democrat","Slghtly conservative",0,"Male"
1975,41,4,"$10000 - 14999","Strong democrat","Extrmly conservative",0,"Male"
1975,24,11,"$6000 to 6999","Not str democrat","Moderate",1,"Male"
1975,66,7,"Lt $1000","Not str republican","Slightly liberal",0,"Female"
1975,23,12,"$6000 to 6999","Ind,near dem","Moderate",0,"Male"
1975,43,12,"$4000 to 4999","Not str democrat","Slghtly conservative",0,"Male"
1975,55,9,"Refused","Not str democrat","Moderate",0,"Male"
1975,22,11,"$1000 to 2999","Not str democrat","Moderate",1,"Female"
1975,66,8,"$4000 to 4999","Strong democrat","Moderate",0,"Male"
1975,51,10,"Lt $1000","Not str democrat","Extrmly conservative",0,"Female"
1975,47,10,"$3000 to 3999","Strong democrat","Moderate",0,"Female"
1975,50,11,"$7000 to 7999","Not str democrat","Moderate",1,"Male"
1975,45,12,"$10000 - 14999","Ind,near rep","Slghtly conservative",0,"Female"
1975,82,12,"Refused","Independent","Extrmly conservative",0,"Male"
1975,43,12,"$10000 - 14999","Not str republican","Moderate",0,"Male"
1975,43,14,"$7000 to 7999","Independent","Slightly liberal",0,"Female"
1975,81,12,"$10000 - 14999","Ind,near rep","Moderate",0,"Female"
1975,48,12,"$15000 - 19999","Not str democrat","Moderate",0,"Male"
1975,81,16,"$3000 to 3999","Strong republican","Moderate",0,"Female"
1975,71,10,"$1000 to 2999","Strong democrat","Moderate",0,"Female"
1975,69,10,"$6000 to 6999","Strong democrat","Moderate",0,"Female"
1975,69,12,"$6000 to 6999","Independent","Liberal",0,"Male"
1975,58,12,"$4000 to 4999","Ind,near dem","Slightly liberal",0,"Male"
1975,54,12,"$15000 - 19999","Not str republican","Slghtly conservative",0,"Male"
1975,62,15,"$15000 - 19999","Not str republican","Slghtly conservative",1,"Male"
1975,72,8,"$5000 to 5999","Not str republican","Slightly liberal",0,"Male"
1975,64,12,"$8000 to 9999","Ind,near dem","Moderate",1,"Male"
1975,50,5,"Lt $1000","Ind,near dem","Liberal",0,"Female"
1975,24,12,"Lt $1000","Not str republican","Liberal",1,"Male"
1975,54,18,"$10000 - 14999","Independent","Moderate",0,"Male"
1975,35,13,"Refused","Independent","Extrmly conservative",0,"Male"
1975,42,12,"$15000 - 19999","Strong republican","Slghtly conservative",0,"Male"
1975,45,10,"$25000 or more","Not str republican","Slghtly conservative",1,"Male"
1975,64,7,"$4000 to 4999","Ind,near dem","Moderate",0,"Male"
1975,24,13,"$1000 to 2999","Not str democrat","Liberal",1,"Female"
1975,19,11,"$5000 to 5999","Strong democrat","Moderate",1,"Female"
1975,44,12,"$1000 to 2999","Ind,near dem","Moderate",1,"Female"
1975,23,14,"$3000 to 3999","Ind,near dem","Liberal",1,"Male"
1975,57,12,"$15000 - 19999","Not str democrat","Moderate",0,"Male"
1975,52,20,"$10000 - 14999","Strong democrat","Liberal",0,"Male"
1975,74,16,"$6000 to 6999","Strong democrat","Liberal",1,"Female"
1975,44,14,"$3000 to 3999","Independent","Slghtly conservative",1,"Male"
1975,29,12,"$8000 to 9999","Not str democrat","Liberal",0,"Male"
1975,52,16,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1975,43,18,"$10000 - 14999","Not str republican","Conservative",1,"Female"
1975,30,11,"$8000 to 9999","Strong democrat","Moderate",1,"Male"
1975,26,13,"$8000 to 9999","Not str democrat","Slghtly conservative",1,"Male"
1975,30,13,"$10000 - 14999","Ind,near rep","Moderate",0,"Male"
1975,39,12,"$10000 - 14999","Strong democrat","Liberal",0,"Male"
1975,68,12,"$10000 - 14999","Strong republican","Extrmly conservative",0,"Male"
1975,42,14,"$20000 - 24999","Ind,near dem","Slghtly conservative",0,"Male"
1975,45,16,"$20000 - 24999","Ind,near dem","Moderate",1,"Male"
1975,29,10,"$6000 to 6999","Not str democrat","Moderate",0,"Male"
1975,23,16,"Lt $1000","Ind,near rep","Liberal",1,"Male"
1975,50,13,"$1000 to 2999","Strong democrat","Slightly liberal",0,"Female"
1975,45,16,"$15000 - 19999","Ind,near rep","Moderate",0,"Male"
1975,32,13,"$20000 - 24999","Not str democrat","Slghtly conservative",0,"Male"
1975,32,15,"$15000 - 19999","Not str republican","Slightly liberal",1,"Male"
1975,34,14,"$15000 - 19999","Not str democrat","Slghtly conservative",0,"Male"
1975,48,12,"$10000 - 14999","Independent","Moderate",0,"Female"
1975,82,8,"$1000 to 2999","Not str republican","Extrmly conservative",0,"Female"
1975,61,12,"$10000 - 14999","Strong democrat","Slghtly conservative",0,"Male"
1975,72,12,"$1000 to 2999","Not str democrat","Slightly liberal",0,"Female"
1975,49,12,"$8000 to 9999","Not str republican","Slghtly conservative",0,"Male"
1975,41,12,"$3000 to 3999","Strong republican","Liberal",0,"Female"
1975,68,8,"$1000 to 2999","Strong republican","Moderate",0,"Female"
1975,45,12,"$10000 - 14999","Strong democrat","Slightly liberal",0,"Male"
1975,56,12,"$1000 to 2999","Not str republican","Slightly liberal",0,"Female"
1975,21,13,"$15000 - 19999","Strong republican","Extrmly conservative",0,"Male"
1975,46,9,"$10000 - 14999","Strong republican","Slghtly conservative",0,"Male"
1975,40,15,"Refused","Not str republican","Slghtly conservative",0,"Male"
1975,35,12,"$25000 or more","Not str republican","Moderate",0,"Male"
1975,67,18,"$25000 or more","Not str republican","Slightly liberal",0,"Male"
1975,33,16,"$15000 - 19999","Independent","Slghtly conservative",0,"Male"
1975,44,12,"$10000 - 14999","Not str republican","Moderate",0,"Male"
1975,39,9,"$15000 - 19999","Independent","Slghtly conservative",0,"Male"
1975,29,12,"$25000 or more","Not str republican","Moderate",0,"Male"
1975,84,8,"$4000 to 4999","Strong republican","Moderate",0,"Female"
1975,49,13,"$25000 or more","Ind,near dem","Conservative",0,"Male"
1975,35,16,"$25000 or more","Independent","Moderate",0,"Male"
1975,52,12,"$10000 - 14999","Not str democrat","Moderate",0,"Male"
1975,41,12,"$10000 - 14999","Not str democrat","Moderate",0,"Male"
1975,33,12,"$10000 - 14999","Independent","Moderate",0,"Male"
1975,31,12,"$15000 - 19999","Not str republican","Slightly liberal",0,"Male"
1975,30,16,"$6000 to 6999","Not str democrat","Slightly liberal",1,"Female"
1975,58,12,"$1000 to 2999","Ind,near dem","Slghtly conservative",0,"Male"
1975,47,12,"$8000 to 9999","Independent","Slightly liberal",0,"Male"
1975,59,19,"$25000 or more","Not str republican","Moderate",1,"Male"
1975,40,15,"$25000 or more","Strong democrat","Liberal",1,"Male"
1975,53,12,"$8000 to 9999","Strong republican","Moderate",1,"Male"
1975,59,10,"$15000 - 19999","Ind,near rep","Moderate",0,"Male"
1975,53,12,"$15000 - 19999","Ind,near dem","Liberal",1,"Male"
1975,80,8,"$1000 to 2999","Ind,near dem","Moderate",0,"Male"
1975,67,12,"$5000 to 5999","Not str republican","Moderate",0,"Female"
1975,32,16,"$15000 - 19999","Independent","Moderate",0,"Male"
1975,46,12,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1975,67,12,"$20000 - 24999","Not str democrat","Moderate",0,"Male"
1975,58,12,"$25000 or more","Strong democrat","Slghtly conservative",0,"Male"
1975,59,12,"Refused","Strong republican","Conservative",0,"Male"
1975,68,6,"$4000 to 4999","Not str democrat","Moderate",0,"Male"
1975,65,8,"$4000 to 4999","Strong democrat","Liberal",0,"Male"
1975,26,12,"$10000 - 14999","Ind,near dem","Moderate",0,"Male"
1975,86,8,"$1000 to 2999","Not str republican","Slightly liberal",0,"Male"
1975,52,12,"$1000 to 2999","Ind,near dem","Slghtly conservative",0,"Male"
1975,43,12,"$10000 - 14999","Independent","Moderate",0,"Male"
1975,28,12,"$10000 - 14999","Not str democrat","Moderate",0,"Male"
1975,59,8,"$8000 to 9999","Strong republican","Moderate",0,"Male"
1975,29,12,"$8000 to 9999","Strong democrat","Moderate",0,"Male"
1975,25,12,"$8000 to 9999","Strong democrat","Liberal",0,"Male"
1975,47,10,"$10000 - 14999","Not str republican","Slghtly conservative",0,"Male"
1975,20,10,"$6000 to 6999","Ind,near dem","Conservative",0,"Male"
1975,40,7,"$7000 to 7999","Independent","Moderate",0,"Female"
1975,46,12,"$10000 - 14999","Not str democrat","Slghtly conservative",0,"Male"
1975,43,10,"$15000 - 19999","Not str republican","Conservative",0,"Male"
1975,32,18,"$25000 or more","Independent","Conservative",0,"Male"
1975,32,19,"$15000 - 19999","Strong democrat","Liberal",1,"Male"
1975,66,7,"$7000 to 7999","Strong democrat","Moderate",0,"Male"
1975,81,7,"Refused","Ind,near rep","Moderate",0,"Female"
1975,74,7,"$8000 to 9999","Independent","Moderate",0,"Male"
1975,64,13,"$4000 to 4999","Not str republican","Slghtly conservative",0,"Female"
1975,28,16,"$10000 - 14999","Not str democrat","Moderate",0,"Female"
1975,32,20,"$5000 to 5999","Ind,near dem","Liberal",1,"Male"
1975,62,12,"$10000 - 14999","Not str democrat","Slghtly conservative",0,"Female"
1975,39,13,"$15000 - 19999","Strong democrat","Moderate",0,"Male"
1975,41,10,"$6000 to 6999","Strong democrat","Slightly liberal",0,"Male"
1975,24,9,"Lt $1000","Ind,near rep","Slightly liberal",1,"Male"
1975,54,11,"$15000 - 19999","Not str democrat","Moderate",0,"Male"
1975,27,12,"$10000 - 14999","Ind,near dem","Slghtly conservative",0,"Male"
1975,23,12,"$25000 or more","Not str republican","Moderate",1,"Male"
1975,27,12,"$5000 to 5999","Not str democrat","Moderate",0,"Male"
1975,27,13,"$5000 to 5999","Not str republican","Moderate",0,"Female"
1975,38,12,"$15000 - 19999","Not str republican","Moderate",0,"Male"
1975,24,8,"$8000 to 9999","Not str republican","Moderate",0,"Male"
1975,32,15,"$20000 - 24999","Strong republican","Conservative",0,"Male"
1975,22,12,"$10000 - 14999","Not str democrat","Moderate",1,"Male"
1975,25,12,"$4000 to 4999","Not str democrat","Moderate",1,"Female"
1975,55,11,"$10000 - 14999","Strong democrat","Slightly liberal",0,"Male"
1975,37,12,"$15000 - 19999","Ind,near dem","Slghtly conservative",0,"Male"
1975,33,12,"$25000 or more","Independent","Extremely liberal",1,"Male"
1975,42,7,"$10000 - 14999","Not str democrat","Conservative",0,"Male"
1975,42,11,"$25000 or more","Independent","Moderate",0,"Male"
1975,25,12,"$10000 - 14999","Independent","Slghtly conservative",0,"Male"
1975,69,12,"$5000 to 5999","Not str republican","Conservative",0,"Male"
1975,51,12,"Lt $1000","Strong democrat","Slghtly conservative",0,"Female"
1975,32,14,"$6000 to 6999","Independent","Moderate",1,"Female"
1975,74,12,"$5000 to 5999","Not str democrat","Slghtly conservative",0,"Male"
1975,28,17,"$5000 to 5999","Independent","Slightly liberal",1,"Male"
1975,48,12,"$20000 - 24999","Not str democrat","Moderate",1,"Male"
1975,32,11,"$8000 to 9999","Not str democrat","Slghtly conservative",1,"Male"
1975,24,12,"$8000 to 9999","Ind,near rep","Moderate",0,"Male"
1975,24,12,"$5000 to 5999","Not str democrat","Moderate",0,"Female"
1975,35,12,"$15000 - 19999","Ind,near rep","Liberal",0,"Male"
1975,25,15,"$15000 - 19999","Ind,near rep","Slightly liberal",1,"Male"
1975,55,10,"$6000 to 6999","Ind,near rep","Moderate",0,"Male"
1975,68,13,"Refused","Strong republican","Conservative",0,"Male"
1975,70,12,"$7000 to 7999","Independent","Slghtly conservative",1,"Male"
1975,44,9,"$10000 - 14999","Not str democrat","Moderate",1,"Male"
1975,52,11,"$8000 to 9999","Independent","Moderate",0,"Male"
1975,70,12,"$7000 to 7999","Strong republican","Moderate",0,"Male"
1975,22,12,"$15000 - 19999","Not str republican","Slghtly conservative",0,"Male"
1975,27,12,"$8000 to 9999","Ind,near dem","Moderate",0,"Male"
1975,64,12,"$25000 or more","Independent","Slghtly conservative",0,"Male"
1975,22,11,"$5000 to 5999","Not str democrat","Moderate",0,"Male"
1975,57,12,"$6000 to 6999","Not str democrat","Slghtly conservative",0,"Male"
1975,20,12,"Refused","Ind,near dem","Slightly liberal",1,"Male"
1975,32,18,"$10000 - 14999","Not str republican","Moderate",0,"Male"
1975,46,12,"$20000 - 24999","Ind,near rep","Moderate",0,"Male"
1975,60,8,"$5000 to 5999","Independent","Moderate",0,"Male"
1975,68,8,"$1000 to 2999","Not str democrat","Moderate",0,"Male"
1975,66,12,"Lt $1000","Not str democrat","Moderate",0,"Female"
1975,59,8,"$10000 - 14999","Strong democrat","Moderate",0,"Male"
1975,52,12,"$10000 - 14999","Not str democrat","Moderate",0,"Male"
1975,73,8,"$10000 - 14999","Strong democrat","Extrmly conservative",0,"Male"
1975,64,12,"$10000 - 14999","Strong republican","Slghtly conservative",0,"Male"
1975,69,12,"$3000 to 3999","Strong democrat","Slightly liberal",0,"Male"
1975,39,12,"$10000 - 14999","Not str democrat","Liberal",0,"Male"
1975,19,12,"$7000 to 7999","Not str republican","Moderate",0,"Male"
1975,59,8,"$7000 to 7999","Not str republican","Slightly liberal",0,"Male"
1975,36,8,"$10000 - 14999","Independent","Slightly liberal",0,"Male"
1975,69,14,"$3000 to 3999","Strong democrat","Conservative",0,"Female"
